"section","analysis","observed_or","or_uy","p0_untreated","p1_treated","delta","bias_factor","adjusted_or","survives"
"F_qba","Mg >2.3 OW (eICU)",0.553,3,0.35,0.275,0.075,0.9118,0.607,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,3,0.4,0.375,0.025,0.9722,0.569,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,3,0.4,0.35,0.05,0.9444,0.586,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,3,0.4,0.325,0.075,0.9167,0.603,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,3,0.45,0.425,0.025,0.9737,0.568,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,3,0.45,0.4,0.05,0.9474,0.584,TRUE
"F_qba","Mg >2.3 OW (eICU)",0.553,3,0.45,0.375,0.075,0.9211,0.6,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,1.5,0.35,0.325,0.025,0.9894,0.502,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,1.5,0.35,0.3,0.05,0.9787,0.508,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,1.5,0.35,0.275,0.075,0.9681,0.513,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,1.5,0.4,0.375,0.025,0.9896,0.502,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,1.5,0.4,0.35,0.05,0.9792,0.508,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,1.5,0.4,0.325,0.075,0.9687,0.513,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,1.5,0.45,0.425,0.025,0.9898,0.502,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,1.5,0.45,0.4,0.05,0.9796,0.507,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,1.5,0.45,0.375,0.075,0.9694,0.513,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,2,0.35,0.325,0.025,0.9815,0.506,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,2,0.35,0.3,0.05,0.963,0.516,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,2,0.35,0.275,0.075,0.9444,0.526,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,2,0.4,0.375,0.025,0.9821,0.506,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,2,0.4,0.35,0.05,0.9643,0.515,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,2,0.4,0.325,0.075,0.9464,0.525,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,2,0.45,0.425,0.025,0.9828,0.506,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,2,0.45,0.4,0.05,0.9655,0.515,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,2,0.45,0.375,0.075,0.9483,0.524,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,2.5,0.35,0.325,0.025,0.9754,0.51,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,2.5,0.35,0.3,0.05,0.9508,0.523,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,2.5,0.35,0.275,0.075,0.9262,0.537,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,2.5,0.4,0.375,0.025,0.9766,0.509,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,2.5,0.4,0.35,0.05,0.9531,0.521,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,2.5,0.4,0.325,0.075,0.9297,0.535,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,2.5,0.45,0.425,0.025,0.9776,0.508,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,2.5,0.45,0.4,0.05,0.9552,0.52,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,2.5,0.45,0.375,0.075,0.9328,0.533,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,3,0.35,0.325,0.025,0.9706,0.512,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,3,0.35,0.3,0.05,0.9412,0.528,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,3,0.35,0.275,0.075,0.9118,0.545,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,3,0.4,0.375,0.025,0.9722,0.511,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,3,0.4,0.35,0.05,0.9444,0.526,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,3,0.4,0.325,0.075,0.9167,0.542,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,3,0.45,0.425,0.025,0.9737,0.51,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,3,0.45,0.4,0.05,0.9474,0.525,TRUE
"F_qba","Mg >2.3 AC (eICU)",0.497,3,0.45,0.375,0.075,0.9211,0.54,TRUE
"F_qba","2.6-3.0 subband",0.403,1.5,0.35,0.325,0.025,0.9894,0.407,TRUE
"F_qba","2.6-3.0 subband",0.403,1.5,0.35,0.3,0.05,0.9787,0.412,TRUE
"F_qba","2.6-3.0 subband",0.403,1.5,0.35,0.275,0.075,0.9681,0.416,TRUE
"F_qba","2.6-3.0 subband",0.403,1.5,0.4,0.375,0.025,0.9896,0.407,TRUE
"F_qba","2.6-3.0 subband",0.403,1.5,0.4,0.35,0.05,0.9792,0.412,TRUE
"F_qba","2.6-3.0 subband",0.403,1.5,0.4,0.325,0.075,0.9687,0.416,TRUE
"F_qba","2.6-3.0 subband",0.403,1.5,0.45,0.425,0.025,0.9898,0.407,TRUE
"F_qba","2.6-3.0 subband",0.403,1.5,0.45,0.4,0.05,0.9796,0.411,TRUE
"F_qba","2.6-3.0 subband",0.403,1.5,0.45,0.375,0.075,0.9694,0.416,TRUE
"F_qba","2.6-3.0 subband",0.403,2,0.35,0.325,0.025,0.9815,0.411,TRUE
"F_qba","2.6-3.0 subband",0.403,2,0.35,0.3,0.05,0.963,0.419,TRUE
"F_qba","2.6-3.0 subband",0.403,2,0.35,0.275,0.075,0.9444,0.427,TRUE
"F_qba","2.6-3.0 subband",0.403,2,0.4,0.375,0.025,0.9821,0.41,TRUE
"F_qba","2.6-3.0 subband",0.403,2,0.4,0.35,0.05,0.9643,0.418,TRUE
"F_qba","2.6-3.0 subband",0.403,2,0.4,0.325,0.075,0.9464,0.426,TRUE
"F_qba","2.6-3.0 subband",0.403,2,0.45,0.425,0.025,0.9828,0.41,TRUE
"F_qba","2.6-3.0 subband",0.403,2,0.45,0.4,0.05,0.9655,0.417,TRUE
"F_qba","2.6-3.0 subband",0.403,2,0.45,0.375,0.075,0.9483,0.425,TRUE
"F_qba","2.6-3.0 subband",0.403,2.5,0.35,0.325,0.025,0.9754,0.413,TRUE
"F_qba","2.6-3.0 subband",0.403,2.5,0.35,0.3,0.05,0.9508,0.424,TRUE
"F_qba","2.6-3.0 subband",0.403,2.5,0.35,0.275,0.075,0.9262,0.435,TRUE
"F_qba","2.6-3.0 subband",0.403,2.5,0.4,0.375,0.025,0.9766,0.413,TRUE
"F_qba","2.6-3.0 subband",0.403,2.5,0.4,0.35,0.05,0.9531,0.423,TRUE
"F_qba","2.6-3.0 subband",0.403,2.5,0.4,0.325,0.075,0.9297,0.433,TRUE
"F_qba","2.6-3.0 subband",0.403,2.5,0.45,0.425,0.025,0.9776,0.412,TRUE
"F_qba","2.6-3.0 subband",0.403,2.5,0.45,0.4,0.05,0.9552,0.422,TRUE
"F_qba","2.6-3.0 subband",0.403,2.5,0.45,0.375,0.075,0.9328,0.432,TRUE
"F_qba","2.6-3.0 subband",0.403,3,0.35,0.325,0.025,0.9706,0.415,TRUE
"F_qba","2.6-3.0 subband",0.403,3,0.35,0.3,0.05,0.9412,0.428,TRUE
"F_qba","2.6-3.0 subband",0.403,3,0.35,0.275,0.075,0.9118,0.442,TRUE
"F_qba","2.6-3.0 subband",0.403,3,0.4,0.375,0.025,0.9722,0.415,TRUE
"F_qba","2.6-3.0 subband",0.403,3,0.4,0.35,0.05,0.9444,0.427,TRUE
"F_qba","2.6-3.0 subband",0.403,3,0.4,0.325,0.075,0.9167,0.44,TRUE
"F_qba","2.6-3.0 subband",0.403,3,0.45,0.425,0.025,0.9737,0.414,TRUE
"F_qba","2.6-3.0 subband",0.403,3,0.45,0.4,0.05,0.9474,0.425,TRUE
"F_qba","2.6-3.0 subband",0.403,3,0.45,0.375,0.075,0.9211,0.438,TRUE
