"spec","pool","target_h","method","n","did","se","p","ci_lo","ci_hi","max_smd","n_viol","db"
"sens_a","yet_untreated",36,"psm",4730,-0.0130655391120507,0.00742908324536073,0.0786605745696796,-0.0276265422729578,0.00149546404885629,0.194544578507127,7,"MIMIC"
"sens_a","yet_untreated",36,"psm_dr",4730,-0.00766742122357641,0.00745471074443419,0.303725168680469,-0.0222786542826674,0.0069438118355146,0.194544578507127,7,"MIMIC"
"sens_a","yet_untreated",42,"psm",4368,-0.0122710622710623,0.0083254614489611,0.140539232497229,-0.028588966711026,0.0040468421689015,0.194544578507127,7,"MIMIC"
"sens_a","yet_untreated",42,"psm_dr",4368,-0.00681167847833989,0.00831621224717988,0.412760713329221,-0.0231114544828125,0.00948809752613268,0.194544578507127,7,"MIMIC"
"sens_a","yet_untreated",48,"psm",4013,-0.0084475454771991,0.00923045235181928,0.360123500901824,-0.0265392320867649,0.00964414113236669,0.194544578507127,7,"MIMIC"
"sens_a","yet_untreated",48,"psm_dr",4013,-0.00161433640304276,0.00926641324343553,0.86170189539955,-0.0197765063601764,0.0165478335540909,0.194544578507127,7,"MIMIC"
"sens_b","yet_untreated",6,"psm",6033,-0.0104425658876181,0.00291472308483446,0.000341406081500961,-0.0161554231338936,-0.00472970864134256,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",6,"psm_dr",6033,-0.0104425658876181,0.00291472308483446,0.000341406081500961,-0.0161554231338936,-0.00472970864134256,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",12,"psm",5544,-0.00936147186147186,0.00394005162634146,0.0175194477369096,-0.0170839730491011,-0.0016389706738426,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",12,"psm_dr",5544,-0.00936147186147186,0.00394005162634146,0.0175194477369096,-0.0170839730491011,-0.0016389706738426,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",18,"psm",5672,-0.0122179125528914,0.00462856874717441,0.00830993541718874,-0.0212899072973532,-0.00314591780842955,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",18,"psm_dr",5672,-0.0122179125528914,0.00462856874717441,0.00830993541718874,-0.0212899072973532,-0.00314591780842955,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",24,"psm",5468,-0.0112838332114118,0.00536614123425185,0.0355074977945746,-0.0218014700305455,-0.000766196392278228,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",24,"psm_dr",5468,-0.0112838332114118,0.00536614123425185,0.0355074977945746,-0.0218014700305455,-0.000766196392278228,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",30,"psm",5559,-0.0146249325418241,0.00584725169415512,0.0123928713256041,-0.0260855458623681,-0.00316431922128005,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",30,"psm_dr",5559,-0.0146249325418241,0.00584725169415512,0.0123928713256041,-0.0260855458623681,-0.00316431922128005,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",36,"psm",5077,-0.0132952531022257,0.00649651019123275,0.0407307083081917,-0.0260284130770419,-0.000562093127409515,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",36,"psm_dr",5077,-0.0132952531022257,0.00649651019123275,0.0407307083081917,-0.0260284130770419,-0.000562093127409515,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",42,"psm",4812,-0.00800083125519533,0.0071296755934737,0.261810822148162,-0.0219749954184038,0.00597333290801313,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",42,"psm_dr",4812,-0.00800083125519533,0.0071296755934737,0.261810822148162,-0.0219749954184038,0.00597333290801313,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",48,"psm",4497,-0.00475872804091616,0.00777537900887825,0.54053654672166,-0.0199984708983175,0.0104810148164852,0.0780463890666218,0,"MIMIC"
"sens_b","yet_untreated",48,"psm_dr",4497,-0.00475872804091616,0.00777537900887825,0.54053654672166,-0.0199984708983175,0.0104810148164852,0.0780463890666218,0,"MIMIC"
