"db","strat_var","stratum","target_h","did","se","p","ci_lo","ci_hi","n"
"EICU","Mg","Mg_1.6-1.8",168,-0.03713,0.03315,0.26284,-0.1021,0.02784,614
"EICU","Mg","Mg_1.8-2.0",6,0.04619,0.05172,0.37443,-0.05518,0.14756,42
"EICU","Mg","Mg_1.8-2.0",12,0.05176,0.03414,0.13064,-0.01517,0.11868,148
"EICU","Mg","Mg_1.8-2.0",18,0.05528,0.02243,0.01399,0.01132,0.09925,299
"EICU","Mg","Mg_1.8-2.0",24,0.03193,0.01537,0.038,0.0018,0.06206,612
"EICU","Mg","Mg_1.8-2.0",30,0.03127,0.01565,0.04592,0.00059,0.06196,706
"EICU","Mg","Mg_1.8-2.0",36,0.02714,0.01657,0.10156,-0.00533,0.05962,718
"EICU","Mg","Mg_1.8-2.0",42,0.02529,0.01711,0.13961,-0.00825,0.05882,730
"EICU","Mg","Mg_1.8-2.0",48,0.04729,0.02337,0.04319,0.00149,0.0931,746
"EICU","Mg","Mg_1.8-2.0",168,0.03437,0.02934,0.24155,-0.02313,0.09187,764
"EICU","Mg","Mg_2.0-2.3",6,NA,NA,NA,NA,NA,29
"EICU","Mg","Mg_2.0-2.3",12,0.04986,0.02866,0.08304,-0.00632,0.10604,143
"EICU","Mg","Mg_2.0-2.3",18,0.07452,0.04102,0.06975,-0.00587,0.15492,294
"EICU","Mg","Mg_2.0-2.3",24,0.04903,0.02531,0.053,-0.00058,0.09865,549
"EICU","Mg","Mg_2.0-2.3",30,0.02946,0.02494,0.23773,-0.01942,0.07834,612
"EICU","Mg","Mg_2.0-2.3",36,0.03135,0.02559,0.22077,-0.01881,0.08151,622
"EICU","Mg","Mg_2.0-2.3",42,0.0272,0.02632,0.30157,-0.02439,0.07879,629
"EICU","Mg","Mg_2.0-2.3",48,0.03238,0.0261,0.215,-0.01878,0.08355,646
"EICU","Mg","Mg_2.0-2.3",168,0.02856,0.03288,0.38513,-0.03588,0.093,661
"EICU","Mg","Mg>=2.3",6,-0.07026,0.05097,0.17212,-0.17016,0.02964,39
"EICU","Mg","Mg>=2.3",12,-0.00432,0.02712,0.87367,-0.05748,0.04885,139
"EICU","Mg","Mg>=2.3",18,0.03525,0.03886,0.36476,-0.04092,0.11142,322
"EICU","Mg","Mg>=2.3",24,0.02482,0.02675,0.35369,-0.02761,0.07726,514
"EICU","Mg","Mg>=2.3",30,0.02565,0.0254,0.31281,-0.02413,0.07543,563
"EICU","Mg","Mg>=2.3",36,0.02692,0.02633,0.30678,-0.02468,0.07852,568
"EICU","Mg","Mg>=2.3",42,0.01988,0.0265,0.45331,-0.03206,0.07182,581
"EICU","Mg","Mg>=2.3",48,0.02104,0.0267,0.43091,-0.03129,0.07336,589
"EICU","Mg","Mg>=2.3",168,-0.01877,0.03389,0.5798,-0.0852,0.04766,602
