"spec","pool","target_h","method","n","did","se","p","ci_lo","ci_hi","max_smd","n_viol","db"
"sens_a","yet_untreated",18,"psm_dr",2888,0.0180630040126571,0.00902695235234868,0.0454382666577123,0.000370177402053699,0.0357558306232605,0.124375893040758,2,"EICU"
"sens_a","yet_untreated",24,"psm",2701,0.0152388004442799,0.0104871915818931,0.146257741438933,-0.00531609505623061,0.0357936959447904,0.124375893040758,2,"EICU"
"sens_a","yet_untreated",24,"psm_dr",2701,0.016707074247313,0.0104999883189953,0.111633996431807,-0.00387290285791778,0.0372870513525438,0.124375893040758,2,"EICU"
"sens_a","yet_untreated",30,"psm",2409,0.0201992528019925,0.0115384528010199,0.080077946998639,-0.00241611468800653,0.0428146202919916,0.124375893040758,2,"EICU"
"sens_a","yet_untreated",30,"psm_dr",2409,0.0222852593630304,0.0114756411157826,0.0521999559587057,-0.000206997223903486,0.0447775159499642,0.124375893040758,2,"EICU"
"sens_a","yet_untreated",36,"psm",2047,0.0119931607230093,0.0133743968156365,0.369918239114748,-0.0142206570356382,0.0382069784816568,0.124375893040758,2,"EICU"
"sens_a","yet_untreated",36,"psm_dr",2047,0.0137717517486681,0.0133033778966254,0.30063338855853,-0.0123028689287178,0.0398463724260539,0.124375893040758,2,"EICU"
"sens_a","yet_untreated",42,"psm",1956,0.0167331288343559,0.0142804698795632,0.241369166825079,-0.011256592129588,0.0447228497982997,0.124375893040758,2,"EICU"
"sens_a","yet_untreated",42,"psm_dr",1956,0.0185582123735644,0.0142332586338319,0.192357259599082,-0.00933897454874613,0.0464553992958748,0.124375893040758,2,"EICU"
"sens_a","yet_untreated",48,"psm",1799,0.0296998332406893,0.0165158192842682,0.0722187337355266,-0.00267117255647649,0.062070839037855,0.124375893040758,2,"EICU"
"sens_a","yet_untreated",48,"psm_dr",1799,0.0314348888950493,0.0164043537262404,0.0554121610344192,-0.000717644408381859,0.0635874221984804,0.124375893040758,2,"EICU"
"sens_b","yet_untreated",6,"psm",3389,0.00384184125110647,0.00715970719810872,0.591567121567861,-0.0101911848571866,0.0178748673593996,0.116958338272268,1,"EICU"
"sens_b","yet_untreated",6,"psm_dr",3389,0.00409657680066482,0.00713277719171868,0.565762737733813,-0.0098836664951038,0.0180768200964334,0.116958338272268,1,"EICU"
"sens_b","yet_untreated",12,"psm",2807,0.00188457427858925,0.00913793319881778,0.836613751418733,-0.0160257747910936,0.0197949233482721,0.116958338272268,1,"EICU"
"sens_b","yet_untreated",12,"psm_dr",2807,0.00232064124372703,0.0091547412946511,0.799898379254776,-0.0156226516937891,0.0202639341812432,0.116958338272268,1,"EICU"
"sens_b","yet_untreated",18,"psm",2920,-0.00433219178082192,0.0087996405312459,0.622515451282837,-0.0215794872220639,0.01291510366042,0.116958338272268,1,"EICU"
"sens_b","yet_untreated",18,"psm_dr",2920,-0.00371198415518793,0.00884159319058752,0.674623604975906,-0.0210415068087395,0.0136175384983636,0.116958338272268,1,"EICU"
"sens_b","yet_untreated",24,"psm",2738,-0.00788166544923301,0.0100683338672812,0.43376829871664,-0.0276155998291041,0.0118522689306381,0.116958338272268,1,"EICU"
"sens_b","yet_untreated",24,"psm_dr",2738,-0.00718714913815036,0.0101270797855269,0.477922838284777,-0.027036225517783,0.0126619272414823,0.116958338272268,1,"EICU"
"sens_b","yet_untreated",30,"psm",2479,-0.0147761194029851,0.0106078343841347,0.163699198761782,-0.0355674747958891,0.006015235989919,0.116958338272268,1,"EICU"
"sens_b","yet_untreated",30,"psm_dr",2479,-0.0138649696095477,0.010587828894677,0.190419113251287,-0.0346171142431146,0.00688717502401917,0.116958338272268,1,"EICU"
"sens_b","yet_untreated",36,"psm",2085,-0.0273717026378897,0.0130851735253105,0.0365158451860541,-0.0530186427474982,-0.00172476252828112,0.116958338272268,1,"EICU"
"sens_b","yet_untreated",36,"psm_dr",2085,-0.0263242397952796,0.0130458904049841,0.0436741349376783,-0.0518941849890483,-0.000754294601510764,0.116958338272268,1,"EICU"
"sens_b","yet_untreated",42,"psm",2015,-0.0167990074441687,0.0137046830371016,0.220350909988594,-0.0436601861968879,0.0100621713085505,0.116958338272268,1,"EICU"
"sens_b","yet_untreated",42,"psm_dr",2015,-0.0162449878299348,0.0136988078760057,0.235744111009243,-0.043094651266906,0.0106046756070364,0.116958338272268,1,"EICU"
"sens_b","yet_untreated",48,"psm",1852,-0.00318034557235423,0.0157423972649177,0.839908888045363,-0.0340354442115929,0.0276747530668845,0.116958338272268,1,"EICU"
"sens_b","yet_untreated",48,"psm_dr",1852,-0.0030043006041072,0.0156895896578183,0.848157157525289,-0.033755896333431,0.0277472951252166,0.116958338272268,1,"EICU"
